"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","doJOZc","W4Efsd 6","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Zia+home+club/data=!4m7!3m6!1s0x2e7a5b420386cba1:0xea62acf169f8aeb6!8m2!3d-7.7165751!4d110.4303285!16s%2Fg%2F11q3rxwp9d!19sChIJocuGA0Jbei4Rtq74afGsYuo?authuser=0&hl=id&rclk=1","Zia home club","5,0","(1)","Pusat kebugaran","·","7CMJ+85R","Buka","· Tutup pukul 17.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVdJrW7F-qzRD0mqgHxL2Qt-U2xon-zL2zLzUXb_7IFaEOCgSUPImqypvS3fdgv9oLDITDlN5wKPaybLqLYJTUILH2SGmTnj-HogwJeet31kai5bvlacbMNVycBmRplNri5ckd=w80-h160-k-no","","","","","",""
"https://www.google.com/maps/place/Empire+Gym/data=!4m7!3m6!1s0x2e7a5a2e9ffbdc25:0x6d0105e54558fc9d!8m2!3d-7.747523!4d110.4196637!16s%2Fg%2F11hb4sxjhz!19sChIJJdz7ny5aei4RnfxYReUFAW0?authuser=0&hl=id&rclk=1","Empire Gym","4,7","(1.226)","Tempat Fitness","·","·","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhyS4sJPskEuwgkrkd35fQzkpEvp-dZHo-9oTJ6wEJ0fP32GCoHcnmCpSAKy3WxmmnLX10TiZ_cx5MPXUMFAeRmNCoDC6WvQmHeyyNjr04uvJ2b-fwErdkfqbPOWaZdJrrWOW_iw=w163-h92-k-no","","Jalan Stadion Maguwoharjo Sleman","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dabest sih","gym","ini, udah alat lengkap, affordable, trus bersih bngt."""
"https://www.google.com/maps/place/UPSTAIRS+GYM/data=!4m7!3m6!1s0x2e7a59ac2ce6a18d:0x73e8c095d8312fa3!8m2!3d-7.7268839!4d110.3995627!16s%2Fg%2F11w_rtwq4p!19sChIJjaHmLKxZei4Roy8x2JXA6HM?authuser=0&hl=id&rclk=1","UPSTAIRS GYM","5,0","(123)","Tempat Fitness","·","Jl. Kaliurang No.Km 9, RW.3","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSN6MBaN77Glhoc5H1fhm936YoHoMV3O2v0rOLtw9MZsbvTMFeJYwZkeZYod94QHpMtOqMnBiZaknbFIhsScjdo2U5mgv6kebQIa0g2rSpWvUI8mWb4w_CDEJcxMjD4zkUl1O53hBvNgoh=w80-h106-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Masih vibe yang sama,","gym","yg rasanya homie, kayak main dirumah aja."""
"https://www.google.com/maps/place/Body+Fit+Tengah+Sawah+%28Gym+apparel+Equipment+%26+Fitness+Center%29/data=!4m7!3m6!1s0x2e7a59fed686125b:0x9a9bd63ead31d27a!8m2!3d-7.7195578!4d110.396491!16s%2Fg%2F11y2140zb6!19sChIJWxKG1v5Zei4RetIxrT7Wm5o?authuser=0&hl=id&rclk=1","Body Fit Tengah Sawah (Gym apparel Equipment & Fitness Center)","5,0","(240)","Tempat Fitness","·","Jl. Kasuari No.61","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7xZV1vuwafGLrYkg3nhNuldGNKJt_m9RrfaRHicBd8tdVW_cmOHX7Q51WY_1qczN3oZPiJpyNY8bAYgsZftyHrxtqdXtff2J_BvxlQNvs_aa9dbeWWXM_Jf9qvXdTOiniLQVg8Q=w80-h106-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""environment","gym","nya juga friendly dan asik orang-orangnyaa."""
"https://www.google.com/maps/place/Diva+Gyms+dan+Why+Gyms/data=!4m7!3m6!1s0x2e7a5fca3f5df683:0x4de7de3d7bdfaa27!8m2!3d-7.689443!4d110.4189757!16s%2Fg%2F11tcbn5qv4!19sChIJg_ZdP8pfei4RJ6rfez3e500?authuser=0&hl=id&rclk=1","Diva Gyms dan Why Gyms","4,7","(185)","Tempat Fitness","·","Tegalmanding","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEN1jTBXtc5FC0PDpgfjhScBUCwKjf2uc6e54mI9J5_JB3HzXeyGem0RUylzpWMlrvC5St--cFtMSPYQjHRpB-l3Uas29RUPk7NRxgG871DdXjDbS92TJ8KjySaI6cToIY8OTeNHw=w80-h106-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman bersih,fasilitas","gym","nya lengkap,ada saunanya juga keren"""
"https://www.google.com/maps/place/GYMRAT/data=!4m7!3m6!1s0x2e7a5f1f55265ead:0x6d60b4b1added9c9!8m2!3d-7.7008364!4d110.4148506!16s%2Fg%2F11whzb633b!19sChIJrV4mVR9fei4RydnerbG0YG0?authuser=0&hl=id&rclk=1","GYMRAT","4,9","(429)","Tempat Fitness","·","Jl. Kaliurang No.km. 13","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPlLg0sfUhvtP0FZpBLDnJfLfidxXGB2pQ6dlMEWxnRONmr4VqzLjZW4Rb5IBrgITXPXuld4-boepMVE2axBWAb-CYcv79lHVPbvB6faWAOqeyEAQXYl3GDTVdPKtid4zrOBxsaqTjRPP3=w80-h142-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","rapi, fasilitas lengkap, staff friendly"""
"https://www.google.com/maps/place/Power+Gym+and+Fitness/data=!4m7!3m6!1s0x2e7a5b00368cae57:0xb4ec7e75d483b569!8m2!3d-7.7670322!4d110.4410006!16s%2Fg%2F11y4z6hcn9!19sChIJV66MNgBbei4RabWD1HV-7LQ?authuser=0&hl=id&rclk=1","Power Gym and Fitness","4,7","(61)","Tempat Fitness","·","6CMR+5CJ","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzDOi6mNkj-Oh2_bmy7wTA4IW0Vo_mwEe11XwGnOt6hlG_aeGFeGv46V_5zEmGjMorhQZKUJhD66CJFA3gwzSOVnz-J3JIbZWsMwPkaG_XyqQt0NPkYWhRj7zV3rZ2LGB29DpBU5_aI69T=w80-h96-k-no","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Gym","open space murah sebulan 150k, tapi tetep ada treadmill, overall good"""
"https://www.google.com/maps/place/SOEN+gym/data=!4m7!3m6!1s0x2e7a5ea51cd3abbb:0xd668c7cc803d2a6c!8m2!3d-7.6985854!4d110.4165533!16s%2Fg%2F11c1tb5lsy!19sChIJu6vTHKVeei4RbCo9gMzHaNY?authuser=0&hl=id&rclk=1","SOEN gym","4,5","(91)","Tempat Fitness","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxG4iDmDL80cyGE0S2-md6y9E7prENSMd3YSGRbsDih12S3l1XXljl6fMUy-jCzKMTc99GGFf30o_o7njUBMkUHlctqMur4ojv2RURiUw1R5kjPqMv8ayPwKX9I7K7PHRCrwt9=w194-h92-k-no","","Jl. Kaliurang Jl. Besi Raya No.01 Blok D","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sama juga tuh dumbell 15kg+ berserakan di lantai.""","",""
